{hash: 52643be, author: Adam, date: 2025-07-04 09:10:58 +0400, message: Initial commit},
{hash: 09f8c5a, author: Adam, date: 2025-07-11 17:23:38 +0400, message: Merge pull request #6 from adam-corpinnovator/dev},
{hash: c86bd2b, author: Adam, date: 2025-07-15 15:40:15 +0400, message: improve single translation prompt},
{hash: cc73e47, author: Adam, date: 2025-07-15 15:40:42 +0400, message: Add bulk translation endpoint to handle multiple text translations},
{hash: facf451, author: Adam, date: 2025-07-15 15:51:18 +0400, message: Bulk translation  timing & count logs},
{hash: 9e1e3de, author: Adam, date: 2025-07-15 15:57:35 +0400, message: Add keep-alive endpoint to check server status},
{hash: 7fecdbe, author: Adam, date: 2025-07-15 16:12:05 +0400, message: Refactor code style for consistency and readability in app.py and translation.py},
{hash: b08f8c2, author: Adam, date: 2025-07-15 16:27:34 +0400, message: Merge pull request #7 from adam-corpinnovator/dev},
{hash: 4fb0f07, author: Adam, date: 2025-07-31 17:44:34 +0400, message: Add Codacy configuration to .gitignore},
{hash: 898af48, author: Adam, date: 2025-08-01 16:51:13 +0400, message: Reorganize import statements for better readability in app.py},
{hash: 7749aa0, author: Adam, date: 2025-08-01 20:11:27 +0400, message: bulk translation functionality to provide line-by-line Arabic translations and improve error handling for translation count mismatches.},
{hash: 3736f0c, author: Adam, date: 2025-08-01 20:13:08 +0400, message: Add system instructions for L S Translation API with behavior and translation rules},
{hash: 2be5269, author: Adam, date: 2025-08-04 17:13:05 +0400, message: changed file name to system_prompt_LS},
{hash: bcfd827, author: Adam, date: 2025-08-04 17:57:33 +0400, message: Refactor assistant ID handling for translation endpoints},
{hash: 555bfa2, author: Adam, date: 2025-08-04 17:57:45 +0400, message: Add chat functionality for interactive translation assistant},
{hash: d19f261, author: Adam, date: 2025-08-07 12:52:05 +0400, message: updated the name},
{hash: e72ea13, author: Adam, date: 2025-08-07 12:52:18 +0400, message: Add system instructions for L S Chat Translation Assistant},
{hash: 7af3936, author: Adam, date: 2025-08-08 11:26:24 +0400, message: Merge pull request #8 from adam-corpinnovator/dev},
{hash: 330ddc5, author: Adam, date: 2025-08-11 18:06:13 +0400, message: Update CORS configuration to replace frontend URL for improved access},
{hash: 40b543c, author: Adam, date: 2025-08-11 18:06:59 +0400, message: Merge pull request #9 from adam-corpinnovator/dev},
{hash: ae79a60, author: Adam, date: 2025-08-13 14:28:39 +0400, message: Implement artifact cleaning for translation responses to remove unwanted citations},
{hash: 24099bf, author: Adam, date: 2025-08-13 14:28:55 +0400, message: Add supabase dependency to requirements.txt},
{hash: 8fa9a9b, author: Adam, date: 2025-08-13 14:29:04 +0400, message: Implement user login endpoint with session management and logging},
{hash: bea00dd, author: Adam, date: 2025-08-13 14:29:36 +0400, message: Implement analytics module with Supabase integration and event logging},
{hash: df0856d, author: Adam, date: 2025-08-13 15:24:52 +0400, message: Enhance analytics logging and queue management},
{hash: d76b6ab, author: Adam, date: 2025-08-13 15:25:47 +0400, message: Enhance translation_single endpoint with error logging and response headers},
{hash: f343c02, author: Adam, date: 2025-08-13 15:26:12 +0400, message: Enhance translate_bulk endpoint with error logging<COMMA>response headers<COMMA>and analytics tracking},
{hash: 322962a, author: Adam, date: 2025-08-13 15:26:24 +0400, message: Enhance chat_with_translator endpoint with error logging<COMMA>response headers<COMMA>and analytics tracking},
{hash: c188b8d, author: Adam, date: 2025-08-13 15:40:09 +0400, message: Updated README.md},
{hash: 278850d, author: Adam, date: 2025-08-13 15:46:43 +0400, message: Fix: debug log message change},
{hash: ee8a97e, author: Adam, date: 2025-08-13 15:47:41 +0400, message: Remove unused _truncate function for compatibility},
{hash: 0fbe44a, author: Adam, date: 2025-08-13 15:51:26 +0400, message: Merge pull request #10 from adam-corpinnovator/dev},
{hash: 27a821b, author: Adam, date: 2025-08-13 15:55:08 +0400, message: Update clone repository URL in README.md},
{hash: 5008678, author: Adam, date: 2025-08-13 15:55:45 +0400, message: Merge pull request #11 from adam-corpinnovator/dev},
{hash: 2f8e87c, author: Adam, date: 2025-08-14 18:11:33 +0400, message: Add rate_translation endpoint for capturing user ratings and feedback},
{hash: c998573, author: Adam, date: 2025-08-15 09:47:37 +0400, message: Refactor system instructions for L S Translation API to enhance clarity and structure},
{hash: 1922488, author: Adam, date: 2025-08-15 09:48:00 +0400, message: Enhance bulk translation prompt to request strict JSON format for safer parsing and improve error handling for translation extraction},
{hash: 632fd69, author: Adam, date: 2025-08-15 11:03:18 +0400, message: Add session email mapping to log_event and extract_request_context for improved user identification},
{hash: f6a963d, author: Adam, date: 2025-08-15 11:03:24 +0400, message: Add feature variant to logging in translate_bulk for better context tracking},
{hash: 8d533a9, author: Adam, date: 2025-08-15 11:03:31 +0400, message: Add auth_return endpoint to log user session returns and track analytics},
{hash: 0aa653e, author: Adam, date: 2025-08-18 09:14:01 +0400, message: Merge pull request #12 from adam-corpinnovator/dev},
{hash: 65e993d, author: Adam, date: 2025-08-21 12:51:19 +0400, message: Add additional CORS origin for enhanced accessibility},
{hash: b0cf357, author: Adam, date: 2025-08-21 12:51:41 +0400, message: Merge pull request #13 from adam-corpinnovator/dev},
{hash: 7eebf8a, author: Adam, date: 2025-08-25 12:06:24 +0400, message: Add Fendi_Pretemplate.xlsx for initial template setup},
{hash: 99260b8, author: Adam, date: 2025-08-25 12:06:29 +0400, message: Add openpyxl to requirements for enhanced Excel file handling},
{hash: 9bed75c, author: Adam, date: 2025-08-25 12:06:35 +0400, message: Add pretemplate blueprint and implement pretemplate fill endpoint for Excel processing},
{hash: 67bb301, author: Adam, date: 2025-08-25 22:25:23 +0400, message: Refactor size transformation logic to prioritize grid matrix data for footwear items and improve fallback handling for size column ranges},
{hash: 3ccd5e1, author: Adam, date: 2025-08-25 22:44:02 +0400, message: Refactor pretemplate functions to standardize naming and improve clarity for order sheet processing},
{hash: 0e87b5f, author: Adam, date: 2025-08-25 22:45:14 +0400, message: Added URL of project X to CORS},
{hash: dbb9f00, author: Adam, date: 2025-08-25 22:46:43 +0400, message: Merge pull request #14 from adam-corpinnovator/dev},
{hash: 78f63c8, author: Adam, date: 2025-08-26 10:09:25 +0400, message: Fix: size transformation logic to prioritize size reference from row 4 and improve handling of quantity validation for footwear items},
{hash: 654bc96, author: Adam, date: 2025-08-26 10:17:40 +0400, message: Edit fill_pretemplate endpoint to use server-side template file and update error handling for template loading},
{hash: 1c99bf4, author: Adam, date: 2025-08-26 13:00:58 +0400, message: Merge pull request #15 from adam-corpinnovator/dev},
{hash: 6463ffe, author: Adam, date: 2025-08-26 15:31:43 +0400, message: Enhance logging for pretemplate processing: add debug and error messages for order sheet reading<COMMA>size transformation<COMMA>and template writing},
{hash: b44863e, author: Adam, date: 2025-08-26 15:33:52 +0400, message: Merge pull request #16 from adam-corpinnovator/dev},
{hash: 30e0d31, author: Adam, date: 2025-08-26 15:42:52 +0400, message: Enhance error handling and logging in order sheet reading: add safety checks for large files and detailed error messages for sheet loading failures},
{hash: f02b61b, author: Adam, date: 2025-08-26 15:43:19 +0400, message: Merge pull request #17 from adam-corpinnovator/dev},
{hash: 7e51e48, author: Adam, date: 2025-08-26 16:58:45 +0400, message: Fix: Optimize Excel processing to prevent server hanging},
{hash: ac39879, author: Adam, date: 2025-08-26 16:59:15 +0400, message: Add comprehensive test scripts and documentation},
{hash: ae9da75, author: Adam, date: 2025-08-26 17:30:50 +0400, message: Merge pull request #18 from adam-corpinnovator/dev},
{hash: c56c7ca, author: Adam, date: 2025-08-26 17:33:41 +0400, message: Remove outdated test scripts and server debugging guide to streamline the repository},
{hash: fae1ded, author: Adam, date: 2025-08-26 17:35:56 +0400, message: Merge pull request #19 from adam-corpinnovator/dev},
{hash: e31eed6, author: Adam, date: 2025-09-01 10:00:04 +0400, message: Add system instructions for Lac Translation API and Chat Assistant},
{hash: c1baaa8, author: Adam, date: 2025-09-01 10:00:11 +0400, message: Increase safety limits for processing large files in order sheet reading to 3000 rows},
{hash: 2018929, author: Adam, date: 2025-09-01 10:10:41 +0400, message: Added translation assistant handling to support multiple models and improve environment variable validation},
{hash: b2544a0, author: Adam, date: 2025-09-01 10:14:43 +0400, message: Refactor assistant ID retrieval for translation and chat functions to enhance model compatibility},
{hash: faf5dea, author: Adam, date: 2025-09-01 10:14:57 +0400, message: Improve chat_with_translator function to support model selection and improve code readability},
{hash: 68a6d3d, author: Adam, date: 2025-09-01 10:23:31 +0400, message: Merge pull request #20 from adam-corpinnovator/dev},
{hash: ebfc3a0, author: Adam, date: 2025-09-01 15:37:32 +0400, message: commit},
{hash: af9ca27, author: Adam, date: 2025-09-03 17:28:26 +0400, message: Remove files that are not needed},
{hash: 63d360a, author: Adam, date: 2025-09-03 17:28:43 +0400, message: Add Direct Supabase REST API client to bypass SSL verification issues},
{hash: 8e26303, author: Adam, date: 2025-09-03 17:28:48 +0400, message: Add requests library to requirements for enhanced HTTP capabilities},
{hash: 621c98a, author: Adam, date: 2025-09-03 17:29:03 +0400, message: Refactor analytics.py to improve SSL handling and enhance code readability},
{hash: c69cdb1, author: Adam, date: 2025-09-03 17:29:10 +0400, message: Enhance admin.py to disable SSL verification for development and improve Supabase client handling with fallback to direct client},
{hash: e339b67, author: Adam, date: 2025-09-03 18:07:55 +0400, message: Enhance calculate_stats function to include detailed translation and user activity analytics},
{hash: 95ead57, author: Adam, date: 2025-09-04 18:23:11 +0400, message: Enhance calculate_stats function to include translation breakdown and user activity analytics},
{hash: 80e36b8, author: Adam, date: 2025-09-04 18:25:21 +0400, message: Merge pull request #21 from adam-corpinnovator/temp-admin-panel-endpoint},
{hash: 47871eb, author: dependabot[bot], date: 2025-09-04 15:10:29 +0000, message: Bump requests from 2.31.0 to 2.32.4 in the pip group across 1 directory},
{hash: ce11599, author: Adam, date: 2025-09-08 16:10:04 +0400, message: Merge pull request #22 from adam-corpinnovator/dependabot/pip/pip-512858e340},
{hash: 2ab96df, author: Adam, date: 2025-09-08 17:53:15 +0400, message: Refactor environment variable handling for L S and Lac assistants to support new naming conventions},
{hash: 73f40f2, author: Adam, date: 2025-09-08 17:53:31 +0400, message: Add support for F},
{hash: c680271, author: Adam, date: 2025-09-08 18:13:16 +0400, message: Merge pull request #23 from adam-corpinnovator/dev-translator},
{hash: 0966cfd, author: Adam, date: 2025-09-09 17:38:44 +0400, message: Rename system instructions for Lac and L S assistants},
{hash: 924d482, author: Adam, date: 2025-09-09 17:38:50 +0400, message: Add system instructions for F Translation API and Assistant},
{hash: 895635b, author: Adam, date: 2025-09-12 11:14:14 +0400, message: Add .DS_Store},
{hash: 6c4e27e, author: Adam, date: 2025-09-12 11:15:06 +0400, message: Enhance translation guidelines for Lac assistant by adding material description preferences and refining terminology for clarity and conciseness.},
{hash: 2355213, author: Adam, date: 2025-09-12 11:15:45 +0400, message: Refine Arabic translations section by updating examples and improving clarity in material descriptions.},
{hash: 650197c, author: Adam, date: 2025-09-12 11:15:49 +0400, message: Enhance translation guidelines for Lac assistant by elaborating on natural Arabic phrasing and adding rules for material descriptions and adjective order.},
{hash: 4897ae5, author: Adam, date: 2025-09-26 09:33:43 +0400, message: Add support for 'less than or equal' filter in DirectSupabaseClient and enhance get_logs function to handle date range parameters},
{hash: 9d69afd, author: Adam, date: 2025-09-26 14:49:01 +0400, message: Enhance get_logs function to support profile filtering and extend time range options},
{hash: 7991777, author: Adam, date: 2025-09-26 14:49:20 +0400, message: Enhance logging functionality by adding translation profile support and improving user profile inference logic},
{hash: b34d645, author: Adam, date: 2025-09-26 14:49:34 +0400, message: Enhance profile inference logic by adding normalization and email-based mapping for translation profiles},
{hash: 0aad3e1, author: Adam, date: 2025-09-29 11:31:44 +0400, message: Enhance calculate_stats function to improve dashboard metrics and add detailed breakdowns for translation and user activity analytics},
{hash: f54cdbc, author: Adam, date: 2025-09-29 14:20:13 +0400, message: Add dashboard metrics computation from CSV for event analytics},
{hash: 5f5e156, author: Adam, date: 2025-09-29 14:36:13 +0400, message: Merge pull request #24 from adam-corpinnovator/dev-translator},
